NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_2292937		Bacteroides sp. AM07-18	1
ncbi_2292001		Bacteroides sp. AM10-21B	1
ncbi_2292941		Bacteroides sp. AM22-3LB	1
ncbi_2292946		Bacteroides sp. AM26-2	1
ncbi_2292953		Bacteroides sp. AM44-19	1
ncbi_556258		Bacteroides sp. D1	1
ncbi_1410607		Bacteroides sp. Ga6A1	1
ncbi_2516960		Bacteroides sp. NM69_E16B	1
ncbi_2292281		Bacteroides sp. OF04-15BH	1
ncbi_2292282		Bacteroides sp. OM05-10AA	1
ncbi_2292283		Bacteroides sp. OM05-12	1
ncbi_2292284		Bacteroides sp. OM08-11	1
ncbi_1450439		Bacteroides sp. UW	1
ncbi_395923		Bartonella rochalimae ATCC BAA-1498	1
ncbi_1933909		Bartonella sp. 114	1
ncbi_1933908		Bartonella sp. 11B	1
ncbi_1933910		Bartonella sp. A1379B	1
ncbi_1933911		Bartonella sp. Coyote22sub2	1
ncbi_1933906		Bartonella sp. JB15	1
ncbi_1933907		Bartonella sp. JB63	1
ncbi_1523431		beta proteobacterium AAP121	1
ncbi_2026092		Bifidobacteriaceae bacterium GH005	1
ncbi_2021361		Bifidobacteriaceae bacterium NR017	1
ncbi_2021360		Bifidobacteriaceae bacterium NR019	1
ncbi_2026098		Bifidobacteriaceae bacterium NR026	1
ncbi_1465255		Bifidobacterium sp. UTCIF-1	1
ncbi_1465256		Bifidobacterium sp. UTCIF-24	1
ncbi_1465257		Bifidobacterium sp. UTCIF-3	1
ncbi_1465258		Bifidobacterium sp. UTCIF-36	1
ncbi_1465259		Bifidobacterium sp. UTCIF-37	1
ncbi_1465260		Bifidobacterium sp. UTCIF-38	1
ncbi_291187		Bizionia algoritergicola	1
ncbi_1861784		Bizionia sp. APA-3	1
ncbi_1768782		Blastomonas sp. CCH11-A4	1
ncbi_1768746		Blastomonas sp. CCH15-G10	1
ncbi_1768740		Blastomonas sp. CCH2-E1	1
ncbi_1768733		Blastomonas sp. CCH3-A3	1
ncbi_1768742		Blastomonas sp. CCH3-E3	1
ncbi_1768751		Blastomonas sp. CCH4-D12	1
ncbi_1768750		Blastomonas sp. CCH5-E3	1
ncbi_1768735		Blastomonas sp. CCH6-A6	1
ncbi_1768745		Blastomonas sp. CCH7-E1	1
ncbi_1768743		Blastomonas sp. CCH8-A3	1
ncbi_1768736		Blastomonas sp. CCH8-E1	1
ncbi_1768734		Blastomonas sp. CCH9-F3	1
ncbi_2025493		Blautia hominis	1
ncbi_2292970		Blautia sp. AM22-22LB	1
ncbi_2292972		Blautia sp. AM28-10	1
ncbi_2292973		Blautia sp. AM28-27	1
ncbi_2292974		Blautia sp. AM28-36	1
ncbi_2292977		Blautia sp. AM46-3MH	1
ncbi_2292978		Blautia sp. AM46-5	1
ncbi_2292286		Blautia sp. OF01-4LB	1
ncbi_2292287		Blautia sp. OF03-15BH	1
ncbi_2292986		Blautia sp. TF10-30	1
ncbi_2292988		Blautia sp. TF12-12AT	1
ncbi_2292989		Blautia sp. TF12-31AT	1
ncbi_1796616		Blautia sp. YL58	1
ncbi_1608041		Bole Tick Virus 2	1
ncbi_1608042		Bole Tick Virus 3	1
ncbi_2282885		Bosea sp. RCAM04680	1
ncbi_2283844		Bosea sp. RCAM04685	1
ncbi_1867714		Bosea sp. Tri-39	1
ncbi_1867715		Bosea sp. Tri-49	1
ncbi_1867716		Bosea sp. Tri-54	1
ncbi_1843763		Bovine faeces associated circular DNA molecule 1	1
ncbi_508869		Bradyrhizobium genosp. SA-4 str. CB756	1
ncbi_2485169		Bradyrhizobium sp. BM-T	1
ncbi_1768766		Bradyrhizobium sp. CCH1-B1	1
ncbi_1768775		Bradyrhizobium sp. CCH5-A9	1
ncbi_2485165		Bradyrhizobium sp. R2.2-H	1
ncbi_546901		Bradyrhizobium sp. USDA 3456	1
ncbi_2485164		Bradyrhizobium sp. W	1
ncbi_2485167		Bradyrhizobium sp. Y-H1	1
ncbi_55210		Brenneria nigrifluens DSM 30175 = ATCC 13028	2
ncbi_598467		Brenneria sp. EniD312	1
ncbi_225845		Brevibacterium celere	1
