Order	Rank	NCBItaxID	SciNameFull	SciNameFull_found	Taxonomy	SciName	Found_Taxonomy			
3	C1	85000	Sphaerobacteridae	Sphaerobacterales	d__Bacteria|p__Chloroflexi|c__Thermomicrobia	Sphaerobacteridae	d__Bacteria|p__Chloroflexi|c__Thermomicrobia		Exserohilum turcicum	d__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Exserohilum|s__Exserohilum turcicum
3	C2	32036	sulfur-oxidizing symbionts		d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	sulfur-oxidizing symbionts	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria		Eurotiomycetes	d__Eukaryota|p__Ascomycota|c__Eurotiomycetes
3	C1	52018	unclassified Actinobacteria (class)		d__Bacteria|p__Actinobacteria|c__Actinobacteria	Actinobacteria (class)	d__Bacteria|p__Actinobacteria|c__Actinobacteria		Saccharomycetales	d__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales
3	C2	78537	unclassified Actinobacteria (class) (miscellaneous)		d__Bacteria|p__Actinobacteria|c__Actinobacteria	Actinobacteria (class)	d__Bacteria|p__Actinobacteria|c__Actinobacteria		Debaryomycetaceae	d__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae
3	C2	33807	unclassified Alphaproteobacteria (miscellaneous)		d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	Alphaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria		Sordariomycetes	d__Eukaryota|p__Ascomycota|c__Sordariomycetes
3	C2	1526609	unclassified Bacilli (miscellaneous)		d__Bacteria|p__Firmicutes|c__Bacilli	Bacilli (miscellaneous)	d__Bacteria|p__Firmicutes|c__Bacilli		Sordariomycetes	d__Eukaryota|p__Ascomycota|c__Sordariomycetes
3	C2	33809	unclassified Betaproteobacteria (miscellaneous)		d__Bacteria|p__Proteobacteria|c__Betaproteobacteria	Betaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria		Sordariomycetes	d__Eukaryota|p__Ascomycota|c__Sordariomycetes
3	C2	348841	unclassified Clostridia (miscellaneous)		d__Bacteria|p__Firmicutes|c__Clostridia	Clostridia (miscellaneous)	d__Bacteria|p__Firmicutes|c__Clostridia		Basidiomycota	d__Eukaryota|p__Basidiomycota
3	C2	122706	unclassified Deltaproteobacteria (miscellaneous)		d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	Deltaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria		Basidiomycota	d__Eukaryota|p__Basidiomycota
3	C2	122728	unclassified Epsilonproteobacteria (miscellaneous)		d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	Epsilonproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria		Basidiomycota	d__Eukaryota|p__Basidiomycota
3	C2	33811	unclassified Gammaproteobacteria (miscellaneous)		d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	Gammaproteobacteria (miscellaneous)	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria		Basidiomycota	d__Eukaryota|p__Basidiomycota
3	C3	909942	unclassified SAR116 cluster		d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	SAR116 cluster	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria		Boletales	d__Eukaryota|p__Basidiomycota|c__Agaricomycetes|o__Boletales
3	C2	1737408	unclassified Tissierellia (miscellaneous)		d__Bacteria|p__Firmicutes|c__Tissierellia	Tissierellia (miscellaneous)	d__Bacteria|p__Firmicutes|c__Tissierellia		Rhizophydiales	d__Eukaryota|p__Chytridiomycota|c__Chytridiomycetes|o__Rhizophydiales
3	C1	222545	Xylariomycetidae		d__Fungi|p__Ascomycota|c__Sordariomycetes	Xylariomycetidae	d__Fungi|p__Ascomycota|c__Sordariomycetes		Microsporidia	d__Eukaryota|p__Microsporidia
4	O1	256005	Alteromonadales genera incertae sedis	Alteromonadales	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	Alteromonadales genera	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales		Microsporidia	d__Eukaryota|p__Microsporidia
4	O1	90150	Aquificales genera incertae sedis	Aquificales	d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	Aquificales genera			Mucoromycota	d__Eukaryota|p__Mucoromycota
4	O2	539738	Bacillales Family XI. Incertae Sedis	Bacillales	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	Bacillales Family			Mucoromycota	d__Eukaryota|p__Mucoromycota
4	O2	539742	Bacillales Family XII. Incertae Sedis	Bacillales	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	Bacillales Family			Viruses	
4	O1	539002	Bacillales incertae sedis	Bacillales	d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	Bacillales 			Viruses	
4	O	1100069	Bacteroidetes Order II. Incertae sedis	Bacteroidetes Order II. Incertae sedis	d__Bacteria|p__Bacteroidetes|o__Bacteroidetes Order II. Incertae sedis	Bacteroidetes Order			Viruses	
4	O2	224471	Burkholderiales Genera incertae sedis	Burkholderiales	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	Burkholderiales Genera			Viruses	
