	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Rickettsiales	|f__	Anaplasmataceae	|g__	Anaplasma			d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma	Anaplasma
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria	|o__	Rickettsiales	|f__	Anaplasmataceae					d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	Anaplasmataceae
d__	Viruses					|o__	Herpesvirales	|f__	Alloherpesviridae	|g__	Cyprinivirus	|s__	Anguillid herpesvirus 1	d__Viruses|o__Herpesvirales|f__Alloherpesviridae|g__Cyprinivirus|s__Anguillid herpesvirus 1	Anguillid herpesvirus 1
d__	Viruses	|p__	Negarnaviricota	|c__	Ellioviricetes	|o__	Bunyavirales	|f__	Peribunyaviridae	|g__	Orthobunyavirus	|s__	Anhembi orthobunyavirus	d__Viruses|p__Negarnaviricota|c__Ellioviricetes|o__Bunyavirales|f__Peribunyaviridae|g__Orthobunyavirus|s__Anhembi orthobunyavirus	Anhembi orthobunyavirus
d__	Viruses							|f__	Poxviridae	|g__	Alphaentomopoxvirus	|s__	Anomala cuprea entomopoxvirus	d__Viruses|f__Poxviridae|g__Alphaentomopoxvirus|s__Anomala cuprea entomopoxvirus	Anomala cuprea entomopoxvirus
d__	Viruses							|f__	Iridoviridae	|g__	Chloriridovirus	|s__	Anopheles minimus irodovirus	d__Viruses|f__Iridoviridae|g__Chloriridovirus|s__Anopheles minimus irodovirus	Anopheles minimus irodovirus
d__	Viruses							|f__	Baculoviridae	|g__	Alphabaculovirus	|s__	Antheraea pernyi nucleopolyhedrovirus	d__Viruses|f__Baculoviridae|g__Alphabaculovirus|s__Antheraea pernyi nucleopolyhedrovirus	Antheraea pernyi nucleopolyhedrovirus
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Cytomegalovirus	|s__	Aotine betaherpesvirus 1	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Cytomegalovirus|s__Aotine betaherpesvirus 1	Aotine betaherpesvirus 1
d__	Bacteria	|p__	Cyanobacteria			|o__	Chroococcales	|f__	Aphanothecaceae					d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae	Aphanothecaceae
d__	Bacteria	|p__	Cyanobacteria			|o__	Chroococcales	|f__	Aphanothecaceae	|g__	Aphanothece	|s__	Aphanothece minutissima	d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae|g__Aphanothece|s__Aphanothece minutissima	Aphanothece minutissima
