#Datasets	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped
"Prevotella sp. F0091"	19927.0	48884.0	29088.0	41277.0	173260.0	28213.0	82588.0	23753.0	27012.0	11935.0	6994.0	116501.0	14378.0	33694.0	24215.0	211584.0	106572.0	10382.0	36013.0	145574.0	94633.0	90117.0	108842.0	139886.0	8246.0	0.0	5802.0	1887.0	0.0	2323.0	21798.0	4168.0	2945.0	0.0	4846.0	8863.0	0.0	0.0	0.0	4100.0	0.0	0.0	0.0
"Prevotella sp. HJM029"	0.0	2514.0	0.0	9911.0	85663.0	8934.0	29255.0	0.0	784.0	787.0	838.0	33473.0	1528.0	14435.0	1310.0	11785.0	0.0	1660.0	5938.0	21680.0	28419.0	10897.0	23496.0	25907.0	2432.0	0.0	1491.0	532.0	0.0	1011.0	7637.0	3900.0	0.0	0.0	0.0	939.0	0.0	0.0	0.0	3839.0	0.0	0.0	0.0
"Prevotella sp. HMSC069G02"	0.0	2714.0	2405.0	3444.0	12791.0	1857.0	6940.0	1625.0	1852.0	705.0	896.0	6097.0	657.0	4116.0	808.0	5811.0	9365.0	668.0	3180.0	6390.0	6593.0	6144.0	22110.0	6306.0	0.0	0.0	0.0	1165.0	0.0	545.0	3825.0	2510.0	0.0	0.0	0.0	3555.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella sp. HMSC073D09"	3578.0	12068.0	5229.0	5859.0	7532.0	7281.0	9059.0	12365.0	1966.0	967.0	1662.0	8376.0	2973.0	3324.0	5934.0	11524.0	9519.0	2975.0	16236.0	10705.0	29957.0	11012.0	5968.0	34720.0	0.0	1449.0	0.0	1206.0	0.0	984.0	3693.0	2042.0	0.0	0.0	0.0	2248.0	0.0	0.0	0.0	22139.0	0.0	2442.0	0.0
"Prevotella sp. HMSC077E09"	0.0	0.0	0.0	0.0	0.0	0.0	3533.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1735.0	425.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella sp. KH2C16"	0.0	0.0	1313.0	1932.0	0.0	0.0	0.0	0.0	730.0	209.0	0.0	0.0	0.0	0.0	0.0	2146.0	0.0	0.0	1209.0	3378.0	1763.0	0.0	0.0	4218.0	0.0	0.0	0.0	0.0	0.0	108.0	965.0	0.0	0.0	0.0	0.0	507.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella sp. Marseille-P4119"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	362.0	0.0	0.0	0.0	0.0	0.0	0.0	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella sp. oral taxon 299"	3059.0	12484.0	8878.0	10051.0	11235.0	22387.0	11916.0	6074.0	1459.0	228.0	235.0	2806.0	2325.0	3789.0	6102.0	8177.0	10376.0	4397.0	2714.0	1721.0	7850.0	34922.0	12848.0	17317.0	9979.0	0.0	16509.0	9947.0	0.0	1209.0	10880.0	871.0	2309.0	0.0	2042.0	19982.0	339421.0	0.0	3239.0	2530.0	0.0	0.0	0.0
"Prevotella sp. oral taxon 317"	4428.0	15587.0	7864.0	7071.0	11185.0	10216.0	11553.0	16530.0	2780.0	1277.0	2206.0	11049.0	4243.0	4324.0	7432.0	14588.0	11870.0	3861.0	21413.0	14801.0	44340.0	14191.0	7401.0	41926.0	0.0	1861.0	0.0	1393.0	0.0	1178.0	3401.0	2291.0	0.0	0.0	0.0	2699.0	0.0	0.0	0.0	28617.0	0.0	1763.0	0.0
"Prevotella sp. oral taxon 472"	2052.0	21391.0	15652.0	12604.0	0.0	1576.0	7267.0	4051.0	1246.0	617.0	1830.0	5091.0	2327.0	0.0	4198.0	20900.0	0.0	2992.0	3512.0	4530.0	10869.0	0.0	6025.0	14031.0	0.0	0.0	0.0	4822.0	0.0	277.0	4119.0	0.0	5666.0	0.0	0.0	12279.0	0.0	0.0	0.0	33782.0	0.0	0.0	0.0
