NCBItaxID	Species
44742	Desulfovibrio fairfieldensis
571438	Desulfovibrio legallii
901	Desulfovibrio piger
665942	Desulfovibrio sp. 6_1_46AFAA
1903261	Mailhella massiliensis
83456	Myxococcus virescens
56	Sorangium cellulosum
927083	Sandaracinus amylolyticus
28198	Arcobacter cryaerophilus
1278212	Arcobacter suis
522485	Campylobacter avium
195	Campylobacter coli
199	Campylobacter concisus
200	Campylobacter curvus
824	Campylobacter gracilis
197	Campylobacter jejuni
204	Campylobacter showae
28080	Campylobacter upsaliensis
665939	Campylobacter sp. 10_1_50
1548153	Campylobacter sp. MIT 97-5078
56877	Helicobacter bizzozeronii
213	Helicobacter cinaedi
214	Helicobacter felis
398626	Helicobacter macacae
210	Helicobacter pylori
95150	Helicobacter rappini
104628	Helicobacter suis
211	Helicobacter sp. CLO-3
648	Aeromonas caviae
196024	Aeromonas dhakensis
29489	Aeromonas enteropelogenes
644	Aeromonas hydrophila
651	Aeromonas media
948519	Aeromonas rivipollensis
645	Aeromonas salmonicida
633415	Aeromonas sanarellii
633417	Aeromonas taiwanensis
654	Aeromonas veronii
1758179	Aeromonas sp. ASNIH5
13335	Anaerobiospirillum succiniciproducens
867	Ruminobacter amylophilus
1200567	Ruminobacter sp. RM87
626938	Succinatimonas hippei
83769	Succinimonas amylolytica
83771	Succinivibrio dextrinosolvens
758828	Succinivibrionaceae bacterium WG-1
1816219	Colwellia sp. PAMC 21821
256839	Shewanella decolorationis
2718	Cardiobacterium hominis
194702	Cardiobacterium valvarum
39650	Cellvibrio mixtus
1622269	Cellvibrio sp. pealriver
306205	Pararheinheimera texasensis
106634	Thioalkalivibrio versutus
67824	Citrobacter farmeri
57706	Citrobacter braakii
546	Citrobacter freundii
1639133	Citrobacter portucalensis
1686385	Citrobacter sp. BIDMC108
1686383	Citrobacter sp. MGH110
67827	Citrobacter werkmanii
133448	Citrobacter youngae
413497	Cronobacter dublinensis
61645	Enterobacter asburiae
550	Enterobacter cloacae
158836	Enterobacter hormaechei
1812935	Enterobacter roggenkampii
2027919	Enterobacter cloacae complex sp.
1915310	Enterobacter cloacae complex sp. ECNIH7
1686395	Enterobacter sp. BIDMC87
1329828	Enterobacter sp. MGH 24
539813	Enterobacter mori
559106	Enterobacter sp. 9-2
1560339	Enterobacter sp. E20
1566258	Enterobacter sp. NFIX59
1166130	Enterobacter sp. R4-368
138072	Candidatus Hamiltonella defensa
562	Escherichia coli
1499973	Escherichia marmotae
548	Klebsiella aerogenes
1134687	Klebsiella michiganensis
571	Klebsiella oxytoca
573	Klebsiella pneumoniae
244366	Klebsiella variicola
1581146	Klebsiella sp. HMSC09D12
1158459	Kosakonia sacchari
83655	Leclercia adecarboxylata
1920116	Leclercia sp. LSNIH3
61646	Lelliottia amnigena
69220	Lelliottia nimipressuralis
575	Raoultella planticola
28901	Salmonella enterica
1849603	Enterobacteriaceae bacterium
693444	Enterobacteriaceae bacterium strain FGI 57
549	Pantoea agglomerans
1263550	Edwardsiella piscicida
582	Morganella morganii
126385	Providencia alcalifaciens
158850	Providencia rustigianii
554	Pectobacterium carotovorum
34038	Rahnella aquatilis
1805933	Rahnella sp. ERMR1:05
61651	Serratia ficaria
47917	Serratia fonticola
614	Serratia liquefaciens
615	Serratia marcescens
82996	Serratia plymuthica
28151	Serratia proteamaculans
1841657	Serratia sp. 14-2641
1884636	Serratia sp. BW106
1286279	Serratia sp. C-1
768491	Serratia sp. S4
631	Yersinia intermedia
1432792	Methylocaldum marinum
254408	Solimonas variicoloris
1306787	Alcanivorax pacificus
1333660	Endozoicomonas atrinae
44933	Halomonas cupida
419596	Halomonas daqingensis
1816686	Halomonas massiliensis
1908521	Gilliamella bombi
717	Actinobacillus capsulatus
718	Actinobacillus equuli
715	Actinobacillus pleuropneumoniae
189834	Actinobacillus porcitonsillarum
67854	Actinobacillus succinogenes
716	Actinobacillus suis
723	Actinobacillus ureae
714	Aggregatibacter actinomycetemcomitans
732	Aggregatibacter aphrophilus
739	Aggregatibacter segnis
712148	Aggregatibacter sp. oral taxon 458
380674	Avibacterium endocarditidis
653940	Basfia succiniciproducens
47735	Bibersteinia trehalosi
738	Glaesserella parasuis
