SampleID	Classified	Unclassified
JAE007.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.3.rso.kraken	4314954	5685046
JAE007.A0101_S0_L001_R1_001.output.1.rso.kraken	28646869	37784208
JAE007.A0101_S0_L001_R1_001.output.2.rso.kraken	28646869	37784208
JAE007.A0101_S0_L001_R1_001.output.3.rso.kraken	28646869	37784208
JAE008.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.1.rso.kraken	3304024	6695976
JAE008.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.2.rso.kraken	3304024	6695976
JAE008.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.3.rso.kraken	3304024	6695976
JAE008.A0101_S0_L001_R1_001.output.1.rso.kraken	21583793	43737055
JAE008.A0101_S0_L001_R1_001.output.2.rso.kraken	21583793	43737055
JAE008.A0101_S0_L001_R1_001.output.3.rso.kraken	21583793	43737055
